nombre_ruta_semantica,cluster_fisico_id,hotspot_id,latitude,longitude,total_camiones,avg_permanencia_min,avg_conduccion_horas,avg_conduccion_post_horas,opportunity_score,top_3_origenes,top_3_destinos
Murcia - Covera - Murcia - Songonera la Seca,95,hs_123,37.836208126839345,-1.1018347656187437,1,265.3,0.0,0.4,0.265,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,95,hs_2,37.99298723164696,-1.183471517368542,1,678.9,0.3,0.1,0.32,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,96,hs_1,37.97918166649245,-1.1542512174932587,2,71.9,0.3,0.3,0.115,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,97,hs_1,37.97918166649245,-1.1542512174932587,2,33.2,0.2,0.1,0.07,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,98,hs_1,37.97918166649245,-1.1542512174932587,1,22.0,0.3,0.1,0.042,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,98,hs_5,37.89289870210942,-1.1406663674192485,1,10.6,0.1,0.2,0.017,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,99,hs_1,37.97918166649245,-1.1542512174932587,2,21.6,0.2,0.0,0.058,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,100,hs_1,37.97918166649245,-1.1542512174932587,1,12.4,0.5,0.0,0.046,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,100,hs_17,37.807002712240546,-1.0016995608631607,2,133.3,0.2,0.4,0.17,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,101,hs_34,37.81230689601693,-1.1324921859354042,2,183.9,0.2,0.1,0.221,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,102,hs_1,37.97918166649245,-1.1542512174932587,1,13.3,0.3,0.0,0.033,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,103,hs_20,37.6050074882613,-0.9822946155772079,1,398.7,0.5,0.6,0.333,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,104,hs_106,37.81228064572033,-0.9277012091050845,3,516.1,0.3,0.5,0.367,"Murcia - Covera (3 camiones, 100.0%)","Murcia - Songonera la Seca (3 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,105,hs_46,37.7614294,-1.1418515,1,485.7,0.1,0.4,0.307,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,105,hs_5,37.89289870210942,-1.1406663674192485,1,13.7,0.5,0.2,0.047,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,105,hs_61,37.779322592103355,-1.1223765388794977,1,60.0,0.1,0.4,0.067,"Murcia - Covera (1 camiones, 100.0%)","Murcia - Songonera la Seca (1 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,105,hs_71,37.727588308780895,-1.1699777539724054,2,19.1,0.2,0.5,0.056,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
Murcia - Covera - Murcia - Songonera la Seca,106,hs_1,37.97918166649245,-1.1542512174932587,2,16.9,0.7,0.1,0.087,"Murcia - Covera (2 camiones, 100.0%)","Murcia - Songonera la Seca (2 camiones, 100.0%)"
